txn_uid,business_date,txn_ref,amount_minor,currency,side,source_system,event_ts
INT-0000148,2026-07-06,M002-8f134a06,439443,USD,DEBIT,INTERNAL,2026-07-06 01:42:45
INT-0000149,2026-07-06,M010-3fab8c3b,397856,JPY,DEBIT,INTERNAL,2026-07-06 23:45:26
INT-0000150,2026-07-06,M006-0e61572b,125520,JPY,DEBIT,INTERNAL,2026-07-06 05:12:42
INT-0000151,2026-07-06,M005-02eaa7f3,51349,JPY,DEBIT,INTERNAL,2026-07-06 14:01:13
INT-0000152,2026-07-06,M005-5e4e48dd,116708,GBP,DEBIT,INTERNAL,2026-07-06 02:03:55
INT-0000153,2026-07-06,M001-a58f3aef,299863,GBP,DEBIT,INTERNAL,2026-07-06 10:47:49
INT-0000154,2026-07-06,M017-f9386bd8,331326,USD,DEBIT,INTERNAL,2026-07-06 07:41:16
INT-0000155,2026-07-06,M008-d51940ea,205048,USD,DEBIT,INTERNAL,2026-07-06 10:32:15
INT-0000156,2026-07-06,M015-95bd1d68,414459,USD,DEBIT,INTERNAL,2026-07-06 19:10:20
INT-0000157,2026-07-06,M005-5622f856,273996,EUR,DEBIT,INTERNAL,2026-07-06 08:23:21
INT-0000158,2026-07-06,M007-2d1ba9f2,106558,GBP,DEBIT,INTERNAL,2026-07-06 00:21:55
INT-0000159,2026-07-06,M009-b15b0be2,98044,EUR,DEBIT,INTERNAL,2026-07-06 20:30:10
INT-0000160,2026-07-06,M008-193fe040,408985,GBP,DEBIT,INTERNAL,2026-07-06 13:53:09
INT-0000161,2026-07-06,M003-53980036,325075,EUR,DEBIT,INTERNAL,2026-07-06 06:38:26
INT-0000162,2026-07-06,M020-e3b35183,274656,JPY,DEBIT,INTERNAL,2026-07-06 08:40:43
INT-0000163,2026-07-06,M019-3c4774ec,58192,GBP,DEBIT,INTERNAL,2026-07-06 04:26:35
INT-0000164,2026-07-06,M001-1c1bac7a,364287,JPY,DEBIT,INTERNAL,2026-07-06 15:18:33
INT-0000165,2026-07-06,M019-1a4b7d0b,427817,GBP,DEBIT,INTERNAL,2026-07-06 14:35:06
INT-0000166,2026-07-06,M003-074dce11,227537,GBP,DEBIT,INTERNAL,2026-07-06 07:18:37
INT-0000167,2026-07-06,M018-830d7193,326218,USD,DEBIT,INTERNAL,2026-07-06 03:39:33
INT-0000168,2026-07-06,M006-82e4e349,32135,USD,DEBIT,INTERNAL,2026-07-06 21:38:14
INT-0000169,2026-07-06,M019-29e7c6be,144213,GBP,DEBIT,INTERNAL,2026-07-06 08:51:43
INT-0000170,2026-07-06,M010-07a76cc0,246373,JPY,DEBIT,INTERNAL,2026-07-06 11:18:18
INT-0000171,2026-07-06,M006-af896910,170344,EUR,DEBIT,INTERNAL,2026-07-06 20:16:01
INT-0000172,2026-07-06,M003-1ceb374d,231179,GBP,DEBIT,INTERNAL,2026-07-06 23:56:48
INT-0000173,2026-07-06,M012-83f84d30,354574,EUR,DEBIT,INTERNAL,2026-07-06 07:22:21
INT-0000174,2026-07-06,M018-4d83cee9,261534,USD,DEBIT,INTERNAL,2026-07-06 14:28:20
INT-0000175,2026-07-06,M010-ca0fce95,205331,GBP,DEBIT,INTERNAL,2026-07-06 19:09:19
INT-0000176,2026-07-06,M005-72aa7a6d,302192,JPY,DEBIT,INTERNAL,2026-07-06 13:43:34
INT-0000177,2026-07-06,M001-f99ddceb,25373,USD,DEBIT,INTERNAL,2026-07-06 09:20:26
INT-0000178,2026-07-06,M001-3dbc46df,275881,USD,DEBIT,INTERNAL,2026-07-06 08:20:51
INT-0000179,2026-07-06,M020-25bab295,363086,GBP,DEBIT,INTERNAL,2026-07-06 19:18:06
INT-0000180,2026-07-06,M010-d5966d51,430706,GBP,DEBIT,INTERNAL,2026-07-06 18:31:39
INT-0000181,2026-07-06,M020-1d00909c,185670,USD,DEBIT,INTERNAL,2026-07-06 20:44:53
INT-0000182,2026-07-06,M019-65f846d3,350780,USD,DEBIT,INTERNAL,2026-07-06 01:04:30
INT-0000183,2026-07-06,M017-25fed10a,15722,USD,DEBIT,INTERNAL,2026-07-06 03:38:40
INT-0000184,2026-07-06,M008-1832b6ec,144913,GBP,DEBIT,INTERNAL,2026-07-06 06:10:05
INT-0000185,2026-07-06,M019-777155a0,230998,USD,DEBIT,INTERNAL,2026-07-06 01:59:14
INT-0000186,2026-07-06,M015-8f27c7d9,219849,GBP,DEBIT,INTERNAL,2026-07-06 21:56:17
INT-0000187,2026-07-06,M016-255bc509,416132,USD,DEBIT,INTERNAL,2026-07-06 08:51:41
INT-0000188,2026-07-06,M012-cac23db7,176144,USD,DEBIT,INTERNAL,2026-07-06 19:25:59
INT-0000189,2026-07-06,M015-d180a474,181106,GBP,DEBIT,INTERNAL,2026-07-06 08:38:06
INT-0000190,2026-07-06,M018-e75bb6cc,291467,EUR,DEBIT,INTERNAL,2026-07-06 16:08:25
INT-0000191,2026-07-06,M019-67e48eb7,156346,EUR,DEBIT,INTERNAL,2026-07-06 17:19:44
INT-0000192,2026-07-06,M017-28c0490c,66306,EUR,DEBIT,INTERNAL,2026-07-06 04:28:14
INT-0000193,2026-07-06,M006-32b96292,168815,EUR,DEBIT,INTERNAL,2026-07-06 06:51:22
INT-0000194,2026-07-06,M005-ce4850bb,148540,JPY,DEBIT,INTERNAL,2026-07-06 12:57:28
INT-0000195,2026-07-06,M001-b3593871,130744,JPY,DEBIT,INTERNAL,2026-07-06 14:34:57
INT-0000196,2026-07-06,M020-94c1957f,226312,EUR,DEBIT,INTERNAL,2026-07-06 07:12:43
INT-0000197,2026-07-06,M009-b0391173,351843,JPY,DEBIT,INTERNAL,2026-07-06 20:56:42
INT-0000198,2026-07-06,M012-782bdeae,219251,USD,DEBIT,INTERNAL,2026-07-06 14:19:54
INT-0000199,2026-07-06,M007-4f618557,353409,JPY,DEBIT,INTERNAL,2026-07-06 18:38:13
INT-0000200,2026-07-06,M008-bd26944f,88607,USD,DEBIT,INTERNAL,2026-07-06 13:01:40
INT-0000201,2026-07-06,M008-e4b9447a,3582,EUR,DEBIT,INTERNAL,2026-07-06 18:45:52
INT-0000202,2026-07-06,M004-4ec6390b,399229,JPY,DEBIT,INTERNAL,2026-07-06 06:09:38
INT-0000203,2026-07-06,M002-9639e35a,470163,USD,DEBIT,INTERNAL,2026-07-06 10:13:35
INT-0000204,2026-07-06,M019-210ef2a8,152284,GBP,DEBIT,INTERNAL,2026-07-06 06:07:12
INT-0000205,2026-07-06,M014-a0b29872,100014,JPY,DEBIT,INTERNAL,2026-07-06 19:46:21
INT-0000206,2026-07-06,M001-49b5539a,406528,USD,DEBIT,INTERNAL,2026-07-06 14:23:29
INT-0000207,2026-07-06,M012-4b87113c,121204,GBP,DEBIT,INTERNAL,2026-07-06 13:25:03
INT-0000208,2026-07-06,M007-5924754e,222263,JPY,DEBIT,INTERNAL,2026-07-06 18:11:14
INT-0000209,2026-07-06,M013-f66b01d4,21441,USD,DEBIT,INTERNAL,2026-07-06 16:00:06
INT-0000210,2026-07-06,M002-2e055c90,467443,JPY,DEBIT,INTERNAL,2026-07-06 12:19:49
INT-0000211,2026-07-06,M019-f2aed4c2,298041,GBP,DEBIT,INTERNAL,2026-07-06 07:06:53
INT-0000212,2026-07-06,M002-9dbf49a0,319869,GBP,DEBIT,INTERNAL,2026-07-06 23:58:22
INT-0000213,2026-07-06,M008-4bdb7ec8,362971,JPY,DEBIT,INTERNAL,2026-07-06 03:06:08
INT-0000214,2026-07-06,M006-78368f7e,287869,EUR,DEBIT,INTERNAL,2026-07-06 04:05:15
INT-0000215,2026-07-06,M019-2d2e433e,386159,USD,DEBIT,INTERNAL,2026-07-06 18:41:04
INT-0000216,2026-07-06,M013-f24b1c71,100977,EUR,DEBIT,INTERNAL,2026-07-06 20:29:57
INT-0000217,2026-07-06,M001-34d263b5,241518,EUR,DEBIT,INTERNAL,2026-07-06 10:55:12
INT-0000218,2026-07-06,M011-37bbf1b3,433368,USD,DEBIT,INTERNAL,2026-07-06 09:18:24
INT-0000219,2026-07-06,M011-8b6e0e30,18402,USD,DEBIT,INTERNAL,2026-07-06 08:49:38
INT-0000220,2026-07-06,M003-9c488e00,97634,GBP,DEBIT,INTERNAL,2026-07-06 05:28:12
INT-0000221,2026-07-06,M005-1125cf5e,263574,JPY,DEBIT,INTERNAL,2026-07-06 17:37:14
INT-0000222,2026-07-06,M020-694165be,189732,USD,DEBIT,INTERNAL,2026-07-06 11:59:18
INT-0000223,2026-07-06,M015-a0afa707,491974,JPY,DEBIT,INTERNAL,2026-07-06 12:52:37
INT-0000224,2026-07-06,M020-48c828b4,331259,USD,DEBIT,INTERNAL,2026-07-06 05:18:34
INT-0000225,2026-07-06,M002-d3b97429,457879,USD,DEBIT,INTERNAL,2026-07-06 07:15:15
INT-0000226,2026-07-06,M011-7bca1aaf,267313,GBP,DEBIT,INTERNAL,2026-07-06 23:07:38
INT-0000227,2026-07-06,M008-460ecec9,183600,EUR,DEBIT,INTERNAL,2026-07-06 05:29:26
INT-0000228,2026-07-06,M019-98a26259,75900,USD,DEBIT,INTERNAL,2026-07-06 10:58:36
INT-0000229,2026-07-06,M015-2fa58805,406528,GBP,DEBIT,INTERNAL,2026-07-06 15:35:34
INT-0000230,2026-07-06,M008-ce693671,114959,USD,DEBIT,INTERNAL,2026-07-06 01:44:11
INT-0000231,2026-07-06,M020-a40680a0,42080,USD,DEBIT,INTERNAL,2026-07-06 02:40:26
INT-0000232,2026-07-06,M011-ca51d12a,340727,USD,DEBIT,INTERNAL,2026-07-06 17:42:23
INT-0000233,2026-07-06,M020-00aa1da5,135251,JPY,DEBIT,INTERNAL,2026-07-06 16:52:15
INT-0000234,2026-07-06,M007-bbdb4a78,278101,EUR,DEBIT,INTERNAL,2026-07-06 03:16:19
INT-0000235,2026-07-06,M016-9e8b8480,407343,USD,DEBIT,INTERNAL,2026-07-06 23:34:03
INT-0000236,2026-07-06,M004-7c204316,79454,GBP,DEBIT,INTERNAL,2026-07-06 22:53:51
INT-0000237,2026-07-06,M006-b4550b7e,493198,GBP,DEBIT,INTERNAL,2026-07-06 22:03:59
INT-0000238,2026-07-06,M016-ce6a0302,334013,EUR,DEBIT,INTERNAL,2026-07-06 12:31:58
INT-0000239,2026-07-06,M013-cdc70808,31949,GBP,DEBIT,INTERNAL,2026-07-06 08:18:19
INT-0000240,2026-07-06,M008-ad89f65f,186257,EUR,DEBIT,INTERNAL,2026-07-06 07:23:54
INT-0000241,2026-07-06,M009-92a0f75a,431899,EUR,DEBIT,INTERNAL,2026-07-06 10:55:32
INT-0000242,2026-07-06,M020-16b1e5d4,111684,JPY,DEBIT,INTERNAL,2026-07-06 21:05:20
INT-0000243,2026-07-06,M010-40494b35,422562,USD,DEBIT,INTERNAL,2026-07-06 04:03:42
INT-0000244,2026-07-06,M013-ca176014,217660,USD,DEBIT,INTERNAL,2026-07-06 12:21:44
INT-0000245,2026-07-06,M008-01a233f4,366675,JPY,DEBIT,INTERNAL,2026-07-06 03:49:05
INT-0000246,2026-07-06,M001-43bf2b67,117894,EUR,DEBIT,INTERNAL,2026-07-06 19:40:36
INT-0000247,2026-07-06,M009-82161db8,8472,EUR,DEBIT,INTERNAL,2026-07-06 09:38:07
