txn_uid,business_date,txn_ref,net_amount_minor,currency,side,source_system,event_ts
BNK-0000092,2026-07-06,M010-7d946bf5,274449,USD,CREDIT,BANK,2026-07-06 04:44:26
BNK-0000093,2026-07-06,M008-248c801b,236576,EUR,CREDIT,BANK,2026-07-06 23:51:28
BNK-0000094,2026-07-06,M019-f750110c,315659,JPY,CREDIT,BANK,2026-07-06 01:51:36
BNK-0000096,2026-07-06,M002-0cde2e57,375174,JPY,CREDIT,BANK,2026-07-06 16:14:11
BNK-0000097,2026-07-06,M009-3a818d89,337851,EUR,CREDIT,BANK,2026-07-06 21:37:51
BNK-0000098,2026-07-06,M007-058765a6,461597,USD,CREDIT,BANK,2026-07-06 16:03:16
BNK-0000099,2026-07-06,M011-ff00d796,199140,EUR,CREDIT,BANK,2026-07-06 13:47:34
BNK-0000100,2026-07-06,M019-410335b4,296529,USD,CREDIT,BANK,2026-07-06 10:10:33
BNK-0000101,2026-07-07,M001-1212b62c,72762,USD,CREDIT,BANK,2026-07-07 10:34:58
BNK-0000102,2026-07-06,M007-29f34369,17952,USD,CREDIT,BANK,2026-07-06 22:47:19
BNK-0000103,2026-07-06,M014-891baf90,11217,GBP,CREDIT,BANK,2026-07-06 07:55:20
BNK-0000104,2026-07-06,M001-bf16295d,272007,JPY,CREDIT,BANK,2026-07-06 07:05:47
BNK-0000105,2026-07-06,M002-3f5fb859,182549,USD,CREDIT,BANK,2026-07-06 04:27:04
BNK-0000106,2026-07-06,M008-2f3ab3cc,87022,JPY,CREDIT,BANK,2026-07-06 23:39:12
BNK-0000107,2026-07-06,M003-0b698d5c,465903,JPY,CREDIT,BANK,2026-07-06 13:24:02
BNK-0000108,2026-07-06,M008-1ba4ea5e,66621,JPY,CREDIT,BANK,2026-07-06 19:20:52
BNK-0000109,2026-07-06,M009-e7689447,66290,EUR,CREDIT,BANK,2026-07-06 13:37:25
BNK-0000110,2026-07-06,M020-a683536c,84620,GBP,CREDIT,BANK,2026-07-06 23:11:44
BNK-0000111,2026-07-06,M005-d863386c,384706,GBP,CREDIT,BANK,2026-07-06 18:52:40
BNK-0000112,2026-07-06,M001-79e048c0,448013,JPY,CREDIT,BANK,2026-07-06 14:33:59
BNK-0000113,2026-07-06,M014-753eda83,443644,JPY,CREDIT,BANK,2026-07-06 00:22:53
BNK-0000114,2026-07-06,M008-58dfe0d5,373996,JPY,CREDIT,BANK,2026-07-06 13:13:42
BNK-0000115,2026-07-06,M011-318656b3,203995,USD,CREDIT,BANK,2026-07-06 22:54:05
BNK-0000116,2026-07-06,M015-0bade65c,376269,EUR,CREDIT,BANK,2026-07-06 18:58:28
BNK-0000117,2026-07-06,M004-88cc102d,334519,GBP,CREDIT,BANK,2026-07-06 04:04:59
BNK-0000118,2026-07-06,M012-9c7ce654,57532,GBP,CREDIT,BANK,2026-07-06 22:55:17
BNK-0000119,2026-07-06,M003-74bde94f,246174,EUR,CREDIT,BANK,2026-07-06 07:15:43
BNK-0000120,2026-07-06,M008-8d5f08b7,369453,GBP,CREDIT,BANK,2026-07-06 23:56:31
BNK-0000121,2026-07-06,M011-2b49c12a,254337,JPY,CREDIT,BANK,2026-07-06 08:00:30
BNK-0000122,2026-07-06,M005-00629834,332209,GBP,CREDIT,BANK,2026-07-06 23:46:52
BNK-0000123,2026-07-06,M006-6c5296f6,181736,JPY,CREDIT,BANK,2026-07-06 12:45:39
BNK-0000124,2026-07-06,M015-8d74ff1f,291213,USD,CREDIT,BANK,2026-07-06 01:16:59
BNK-0000125,2026-07-06,M005-505aef9e,129371,JPY,CREDIT,BANK,2026-07-06 18:50:36
BNK-0000126,2026-07-06,M014-b001a3ff,94843,USD,CREDIT,BANK,2026-07-06 04:43:01
BNK-0000127,2026-07-06,M005-4a3baf69,112063,USD,CREDIT,BANK,2026-07-06 18:17:10
BNK-0000128,2026-07-06,M014-99bfca8b,290720,GBP,CREDIT,BANK,2026-07-06 09:23:04
BNK-0000129,2026-07-06,M016-a9421cc1,173684,USD,CREDIT,BANK,2026-07-06 17:49:33
BNK-0000130,2026-07-06,M004-f1c4261e,24525,USD,CREDIT,BANK,2026-07-06 00:20:02
BNK-0000131,2026-07-06,M006-1d30b498,348127,USD,CREDIT,BANK,2026-07-06 16:30:40
BNK-0000132,2026-07-06,M006-0d1f13dc,18052,JPY,CREDIT,BANK,2026-07-06 17:59:20
BNK-0000133,2026-07-06,M001-4fd32f64,311455,JPY,CREDIT,BANK,2026-07-06 09:26:37
BNK-0000134,2026-07-06,M014-2634f087,5234,USD,CREDIT,BANK,2026-07-06 19:45:50
BNK-0000136,2026-07-06,M020-95f1abef,204121,USD,CREDIT,BANK,2026-07-06 18:31:19
BNK-0000137,2026-07-06,M005-5dfce8a9,190655,USD,CREDIT,BANK,2026-07-06 04:23:23
BNK-0000138,2026-07-06,M020-049d7ccc,456148,GBP,CREDIT,BANK,2026-07-06 02:19:09
BNK-0000139,2026-07-06,M008-a88d5194,148635,JPY,CREDIT,BANK,2026-07-06 15:02:03
BNK-0000140,2026-07-06,M019-fb2fc679,143775,EUR,CREDIT,BANK,2026-07-06 21:39:20
BNK-0000141,2026-07-06,M013-80ce2b27,371473,JPY,CREDIT,BANK,2026-07-06 12:21:07
BNK-0000142,2026-07-06,M017-af666625,464294,GBP,CREDIT,BANK,2026-07-06 08:14:08
BNK-0000143,2026-07-06,M010-bc471fb3,303218,GBP,CREDIT,BANK,2026-07-06 08:27:04
BNK-0000144,2026-07-06,M015-0b80316f,82070,USD,CREDIT,BANK,2026-07-06 08:16:49
BNK-0000145,2026-07-06,M007-d3e481a6,485476,GBP,CREDIT,BANK,2026-07-06 17:42:47
BNK-0000146,2026-07-06,M013-1bef2c32,14628,USD,CREDIT,BANK,2026-07-06 19:15:51
BNK-0000147,2026-07-06,M019-c5e5b775,336076,EUR,CREDIT,BANK,2026-07-06 05:38:56
BNK-0000148,2026-07-06,M002-8f134a06,439143,USD,CREDIT,BANK,2026-07-06 10:40:06
BNK-0000149,2026-07-06,M010-3fab8c3b,397456,JPY,CREDIT,BANK,2026-07-06 17:50:45
BNK-0000150,2026-07-06,M006-0e61572b,125120,JPY,CREDIT,BANK,2026-07-06 13:16:42
BNK-0000151,2026-07-06,M005-02eaa7f3,50949,JPY,CREDIT,BANK,2026-07-06 08:12:38
BNK-0000152,2026-07-06,M005-5e4e48dd,116458,GBP,CREDIT,BANK,2026-07-06 13:20:19
BNK-0000153,2026-07-06,M001-a58f3aef,299613,GBP,CREDIT,BANK,2026-07-06 09:10:44
BNK-0000154,2026-07-06,M017-f9386bd8,331026,USD,CREDIT,BANK,2026-07-06 04:54:39
BNK-0000155,2026-07-06,M008-d51940ea,204748,USD,CREDIT,BANK,2026-07-06 15:48:28
BNK-0000156,2026-07-06,M015-95bd1d68,414159,USD,CREDIT,BANK,2026-07-06 06:09:58
BNK-0000157,2026-07-06,M005-5622f856,273696,EUR,CREDIT,BANK,2026-07-06 13:05:36
BNK-0000158,2026-07-06,M007-2d1ba9f2,106308,GBP,CREDIT,BANK,2026-07-06 07:07:36
BNK-0000159,2026-07-06,M009-b15b0be2,97744,EUR,CREDIT,BANK,2026-07-06 03:57:47
BNK-0000160,2026-07-06,M008-193fe040,408735,GBP,CREDIT,BANK,2026-07-06 18:33:44
BNK-0000161,2026-07-06,M003-53980036,324775,EUR,CREDIT,BANK,2026-07-06 00:27:49
BNK-0000162,2026-07-06,M020-e3b35183,274256,JPY,CREDIT,BANK,2026-07-06 10:22:06
BNK-0000163,2026-07-06,M019-3c4774ec,57942,GBP,CREDIT,BANK,2026-07-06 03:27:27
BNK-0000164,2026-07-06,M001-1c1bac7a,363887,JPY,CREDIT,BANK,2026-07-06 13:24:09
BNK-0000165,2026-07-07,M019-1a4b7d0b,427567,GBP,CREDIT,BANK,2026-07-07 20:04:31
BNK-0000166,2026-07-06,M003-074dce11,227287,GBP,CREDIT,BANK,2026-07-06 06:42:59
BNK-0000167,2026-07-06,M018-830d7193,325918,USD,CREDIT,BANK,2026-07-06 09:46:22
BNK-0000168,2026-07-06,M006-82e4e349,31835,USD,CREDIT,BANK,2026-07-06 16:02:07
BNK-0000169,2026-07-06,M019-29e7c6be,143963,GBP,CREDIT,BANK,2026-07-06 15:51:21
BNK-0000170,2026-07-06,M010-07a76cc0,245973,JPY,CREDIT,BANK,2026-07-06 16:53:18
BNK-0000171,2026-07-06,M006-af896910,170044,EUR,CREDIT,BANK,2026-07-06 00:18:15
BNK-0000172,2026-07-06,M003-1ceb374d,230929,GBP,CREDIT,BANK,2026-07-06 20:58:40
BNK-0000173,2026-07-06,M012-83f84d30,354274,EUR,CREDIT,BANK,2026-07-06 08:41:27
BNK-0000174,2026-07-06,M018-4d83cee9,261234,USD,CREDIT,BANK,2026-07-06 19:45:43
BNK-0000175,2026-07-06,M010-ca0fce95,205081,GBP,CREDIT,BANK,2026-07-06 08:08:55
BNK-0000176,2026-07-06,M005-72aa7a6d,301792,JPY,CREDIT,BANK,2026-07-06 08:40:28
BNK-0000177,2026-07-06,M001-f99ddceb,25073,USD,CREDIT,BANK,2026-07-06 12:08:40
BNK-0000178,2026-07-06,M001-3dbc46df,275581,USD,CREDIT,BANK,2026-07-06 04:50:28
BNK-0000179,2026-07-06,M020-25bab295,362836,GBP,CREDIT,BANK,2026-07-06 22:12:40
BNK-0000180,2026-07-06,M010-d5966d51,430456,GBP,CREDIT,BANK,2026-07-06 20:56:16
BNK-0000181,2026-07-06,M020-1d00909c,185370,USD,CREDIT,BANK,2026-07-06 05:40:40
BNK-0000182,2026-07-06,M019-65f846d3,350480,USD,CREDIT,BANK,2026-07-06 13:06:59
BNK-0000183,2026-07-06,M017-25fed10a,15422,USD,CREDIT,BANK,2026-07-06 11:37:13
BNK-0000184,2026-07-06,M008-1832b6ec,144663,GBP,CREDIT,BANK,2026-07-06 09:34:18
BNK-0000185,2026-07-06,M019-777155a0,230698,USD,CREDIT,BANK,2026-07-06 08:33:01
BNK-0000186,2026-07-06,M015-8f27c7d9,219599,GBP,CREDIT,BANK,2026-07-06 03:45:22
BNK-0000187,2026-07-06,M016-255bc509,415832,USD,CREDIT,BANK,2026-07-06 00:53:34
BNK-0000188,2026-07-06,M012-cac23db7,175844,USD,CREDIT,BANK,2026-07-06 10:53:20
BNK-0000189,2026-07-08,M015-d180a474,180856,GBP,CREDIT,BANK,2026-07-08 01:39:04
BNK-0000190,2026-07-06,M018-e75bb6cc,291167,EUR,CREDIT,BANK,2026-07-06 11:32:41
BNK-0000191,2026-07-06,M019-67e48eb7,156046,EUR,CREDIT,BANK,2026-07-06 00:15:02
BNK-0000192,2026-07-06,M017-28c0490c,66006,EUR,CREDIT,BANK,2026-07-06 08:40:42
BNK-0000193,2026-07-06,M006-32b96292,168515,EUR,CREDIT,BANK,2026-07-06 18:16:44
BNK-0000194,2026-07-06,M005-ce4850bb,148140,JPY,CREDIT,BANK,2026-07-06 18:28:55
BNK-0000195,2026-07-06,M001-b3593871,130344,JPY,CREDIT,BANK,2026-07-06 05:45:38
BNK-0000196,2026-07-06,M020-94c1957f,226012,EUR,CREDIT,BANK,2026-07-06 11:52:00
BNK-0000197,2026-07-06,M009-b0391173,351443,JPY,CREDIT,BANK,2026-07-06 07:32:56
BNK-0000198,2026-07-06,M012-782bdeae,218951,USD,CREDIT,BANK,2026-07-06 17:24:38
BNK-0000199,2026-07-06,M007-4f618557,353009,JPY,CREDIT,BANK,2026-07-06 02:03:15
BNK-0000200,2026-07-06,M008-bd26944f,88307,USD,CREDIT,BANK,2026-07-06 06:10:11
BNK-0000201,2026-07-06,M008-e4b9447a,3479,EUR,CREDIT,BANK,2026-07-06 07:19:03
BNK-0000202,2026-07-06,M004-4ec6390b,398829,JPY,CREDIT,BANK,2026-07-06 11:21:48
BNK-0000203,2026-07-06,M002-9639e35a,469863,USD,CREDIT,BANK,2026-07-06 23:03:01
BNK-0000204,2026-07-08,M019-210ef2a8,152034,GBP,CREDIT,BANK,2026-07-08 03:26:10
BNK-0000205,2026-07-06,M014-a0b29872,99614,JPY,CREDIT,BANK,2026-07-06 05:57:36
BNK-0000206,2026-07-06,M001-49b5539a,406228,USD,CREDIT,BANK,2026-07-06 05:28:29
BNK-0000207,2026-07-06,M012-4b87113c,120954,GBP,CREDIT,BANK,2026-07-06 07:26:02
BNK-0000208,2026-07-06,M007-5924754e,221863,JPY,CREDIT,BANK,2026-07-06 20:30:59
BNK-0000209,2026-07-06,M013-f66b01d4,21141,USD,CREDIT,BANK,2026-07-06 04:48:30
BNK-0000210,2026-07-06,M002-2e055c90,467043,JPY,CREDIT,BANK,2026-07-06 11:25:53
BNK-0000211,2026-07-06,M019-f2aed4c2,297791,GBP,CREDIT,BANK,2026-07-06 19:56:43
BNK-0000212,2026-07-06,M002-9dbf49a0,319619,GBP,CREDIT,BANK,2026-07-06 13:38:29
BNK-0000213,2026-07-06,M008-4bdb7ec8,362571,JPY,CREDIT,BANK,2026-07-06 14:20:13
BNK-0000214,2026-07-06,M006-78368f7e,287569,EUR,CREDIT,BANK,2026-07-06 19:13:59
BNK-0000215,2026-07-06,M019-2d2e433e,385859,USD,CREDIT,BANK,2026-07-06 04:17:16
BNK-0000216,2026-07-06,M013-f24b1c71,100677,EUR,CREDIT,BANK,2026-07-06 02:41:29
BNK-0000217,2026-07-06,M001-34d263b5,241218,EUR,CREDIT,BANK,2026-07-06 17:06:58
BNK-0000218,2026-07-06,M011-37bbf1b3,433068,USD,CREDIT,BANK,2026-07-06 03:11:23
BNK-0000219,2026-07-06,M011-8b6e0e30,18102,USD,CREDIT,BANK,2026-07-06 04:15:57
BNK-0000220,2026-07-06,M003-9c488e00,97384,GBP,CREDIT,BANK,2026-07-06 11:54:32
BNK-0000221,2026-07-06,M005-1125cf5e,263174,JPY,CREDIT,BANK,2026-07-06 16:41:50
BNK-0000222,2026-07-06,M020-694165be,189432,USD,CREDIT,BANK,2026-07-06 06:21:33
BNK-0000223,2026-07-06,M015-a0afa707,491574,JPY,CREDIT,BANK,2026-07-06 18:38:39
BNK-0000224,2026-07-06,M020-48c828b4,330959,USD,CREDIT,BANK,2026-07-06 06:41:11
BNK-0000225,2026-07-06,M002-d3b97429,457579,USD,CREDIT,BANK,2026-07-06 16:20:39
BNK-0000226,2026-07-06,M011-7bca1aaf,267063,GBP,CREDIT,BANK,2026-07-06 23:00:12
BNK-0000227,2026-07-06,M008-460ecec9,183300,EUR,CREDIT,BANK,2026-07-06 14:31:09
BNK-0000228,2026-07-06,M019-98a26259,75600,USD,CREDIT,BANK,2026-07-06 17:40:02
BNK-0000229,2026-07-06,M015-2fa58805,406278,GBP,CREDIT,BANK,2026-07-06 15:24:50
BNK-0000230,2026-07-06,M008-ce693671,114659,USD,CREDIT,BANK,2026-07-06 16:48:41
BNK-0000231,2026-07-06,M020-a40680a0,41780,USD,CREDIT,BANK,2026-07-06 22:58:32
BNK-0000232,2026-07-06,M011-ca51d12a,340427,USD,CREDIT,BANK,2026-07-06 07:25:15
BNK-0000233,2026-07-07,M020-00aa1da5,134851,JPY,CREDIT,BANK,2026-07-07 21:27:42
BNK-0000234,2026-07-06,M007-bbdb4a78,277801,EUR,CREDIT,BANK,2026-07-06 11:27:48
BNK-0000235,2026-07-06,M016-9e8b8480,407043,USD,CREDIT,BANK,2026-07-06 11:18:02
BNK-0000236,2026-07-06,M004-7c204316,79204,GBP,CREDIT,BANK,2026-07-06 12:20:55
BNK-0000237,2026-07-06,M006-b4550b7e,492948,GBP,CREDIT,BANK,2026-07-06 09:06:55
BNK-0000238,2026-07-06,M016-ce6a0302,333713,EUR,CREDIT,BANK,2026-07-06 00:32:17
BNK-0000239,2026-07-06,M013-cdc70808,31699,GBP,CREDIT,BANK,2026-07-06 03:18:30
BNK-0000240,2026-07-06,M008-ad89f65f,185957,EUR,CREDIT,BANK,2026-07-06 07:15:33
BNK-0000241,2026-07-06,M009-92a0f75a,431599,EUR,CREDIT,BANK,2026-07-06 14:04:01
BNK-0000242,2026-07-06,M020-16b1e5d4,111284,JPY,CREDIT,BANK,2026-07-06 09:42:30
BNK-0000243,2026-07-06,M010-40494b35,422262,USD,CREDIT,BANK,2026-07-06 03:34:59
BNK-0000244,2026-07-06,M013-ca176014,217360,USD,CREDIT,BANK,2026-07-06 01:12:22
BNK-0000245,2026-07-06,M008-01a233f4,366275,JPY,CREDIT,BANK,2026-07-06 21:16:00
BNK-0000246,2026-07-06,M001-43bf2b67,117594,EUR,CREDIT,BANK,2026-07-06 22:23:20
BNK-0000247,2026-07-06,M009-82161db8,8227,EUR,CREDIT,BANK,2026-07-06 23:44:51
BNK-0000248,2026-07-06,M018-d8cdadc4,287984,GBP,CREDIT,BANK,2026-07-06 07:00:01
BNK-0000249,2026-07-06,M013-078c7632,421498,JPY,CREDIT,BANK,2026-07-06 07:23:58
BNK-0000250,2026-07-06,M002-aeae0ffa,212966,USD,CREDIT,BANK,2026-07-06 11:39:47
BNK-0000251,2026-07-06,M013-cb2c8a27,432732,EUR,CREDIT,BANK,2026-07-06 06:36:38
BNK-0000252,2026-07-06,M009-bf742b65,476695,GBP,CREDIT,BANK,2026-07-06 05:44:36
BNK-0000253,2026-07-06,M008-51acbd3d,80131,EUR,CREDIT,BANK,2026-07-06 00:32:36
BNK-0000254,2026-07-06,M009-b9e28c9e,53998,JPY,CREDIT,BANK,2026-07-06 16:35:13
BNK-0000255,2026-07-06,M015-404bf7ba,383186,JPY,CREDIT,BANK,2026-07-06 01:54:29
BNK-0000256,2026-07-06,M009-081598a8,291809,USD,CREDIT,BANK,2026-07-06 07:16:54
BNK-0000257,2026-07-06,M015-f264d9b1,275543,USD,CREDIT,BANK,2026-07-06 02:48:15
BNK-0000258,2026-07-06,M013-dd8b7c46,22140,GBP,CREDIT,BANK,2026-07-06 05:12:01
