txn_uid,source_system,leg,expected_class,expected_counterpart_ref,expects_hungarian,greedy_differs,trap_group_id,trap_assert,dense_block_id
BNK-0000139,BANK,BANK,MATCHED,M008-a88d5194,false,false,,,
BNK-0000140,BANK,BANK,MATCHED,M019-fb2fc679,false,false,,,
BNK-0000141,BANK,BANK,MATCHED,M013-80ce2b27,false,false,,,
BNK-0000142,BANK,BANK,MATCHED,M017-af666625,false,false,,,
BNK-0000143,BANK,BANK,MATCHED,M010-bc471fb3,false,false,,,
BNK-0000144,BANK,BANK,MATCHED,M015-0b80316f,false,false,,,
BNK-0000145,BANK,BANK,MATCHED,M007-d3e481a6,false,false,,,
BNK-0000146,BANK,BANK,MATCHED,M013-1bef2c32,false,false,,,
BNK-0000147,BANK,BANK,MATCHED,M019-c5e5b775,false,false,,,
BNK-0000148,BANK,BANK,MATCHED,M002-8f134a06,false,false,,,
BNK-0000149,BANK,BANK,MATCHED,M010-3fab8c3b,false,false,,,
BNK-0000150,BANK,BANK,MATCHED,M006-0e61572b,false,false,,,
BNK-0000151,BANK,BANK,MATCHED,M005-02eaa7f3,false,false,,,
BNK-0000152,BANK,BANK,MATCHED,M005-5e4e48dd,false,false,,,
BNK-0000153,BANK,BANK,MATCHED,M001-a58f3aef,false,false,,,
BNK-0000154,BANK,BANK,MATCHED,M017-f9386bd8,false,false,,,
BNK-0000155,BANK,BANK,MATCHED,M008-d51940ea,false,false,,,
BNK-0000156,BANK,BANK,MATCHED,M015-95bd1d68,false,false,,,
BNK-0000157,BANK,BANK,MATCHED,M005-5622f856,false,false,,,
BNK-0000158,BANK,BANK,MATCHED,M007-2d1ba9f2,false,false,,,
BNK-0000159,BANK,BANK,MATCHED,M009-b15b0be2,false,false,,,
BNK-0000160,BANK,BANK,MATCHED,M008-193fe040,false,false,,,
BNK-0000161,BANK,BANK,MATCHED,M003-53980036,false,false,,,
BNK-0000162,BANK,BANK,MATCHED,M020-e3b35183,false,false,,,
BNK-0000163,BANK,BANK,MATCHED,M019-3c4774ec,false,false,,,
BNK-0000164,BANK,BANK,MATCHED,M001-1c1bac7a,false,false,,,
BNK-0000165,BANK,BANK,TIMING_DIFFERENCE,M019-1a4b7d0b,false,false,,,
BNK-0000166,BANK,BANK,MATCHED,M003-074dce11,false,false,,,
BNK-0000167,BANK,BANK,MATCHED,M018-830d7193,false,false,,,
BNK-0000168,BANK,BANK,MATCHED,M006-82e4e349,false,false,,,
BNK-0000169,BANK,BANK,MATCHED,M019-29e7c6be,false,false,,,
BNK-0000170,BANK,BANK,MATCHED,M010-07a76cc0,false,false,,,
BNK-0000171,BANK,BANK,MATCHED,M006-af896910,false,false,,,
BNK-0000172,BANK,BANK,MATCHED,M003-1ceb374d,false,false,,,
BNK-0000173,BANK,BANK,MATCHED,M012-83f84d30,false,false,,,
BNK-0000174,BANK,BANK,MATCHED,M018-4d83cee9,false,false,,,
BNK-0000175,BANK,BANK,MATCHED,M010-ca0fce95,false,false,,,
BNK-0000176,BANK,BANK,MATCHED,M005-72aa7a6d,false,false,,,
BNK-0000177,BANK,BANK,MATCHED,M001-f99ddceb,false,false,,,
BNK-0000178,BANK,BANK,MATCHED,M001-3dbc46df,false,false,,,
BNK-0000179,BANK,BANK,MATCHED,M020-25bab295,false,false,,,
BNK-0000180,BANK,BANK,MATCHED,M010-d5966d51,false,false,,,
BNK-0000181,BANK,BANK,MATCHED,M020-1d00909c,false,false,,,
BNK-0000182,BANK,BANK,MATCHED,M019-65f846d3,false,false,,,
BNK-0000183,BANK,BANK,MATCHED,M017-25fed10a,false,false,,,
BNK-0000184,BANK,BANK,MATCHED,M008-1832b6ec,false,false,,,
BNK-0000185,BANK,BANK,MATCHED,M019-777155a0,false,false,,,
BNK-0000186,BANK,BANK,MATCHED,M015-8f27c7d9,false,false,,,
BNK-0000187,BANK,BANK,MATCHED,M016-255bc509,false,false,,,
BNK-0000188,BANK,BANK,MATCHED,M012-cac23db7,false,false,,,
BNK-0000189,BANK,BANK,TIMING_DIFFERENCE,M015-d180a474,false,false,,,
BNK-0000190,BANK,BANK,MATCHED,M018-e75bb6cc,false,false,,,
BNK-0000191,BANK,BANK,MATCHED,M019-67e48eb7,false,false,,,
BNK-0000192,BANK,BANK,MATCHED,M017-28c0490c,false,false,,,
BNK-0000193,BANK,BANK,MATCHED,M006-32b96292,false,false,,,
BNK-0000194,BANK,BANK,MATCHED,M005-ce4850bb,false,false,,,
BNK-0000195,BANK,BANK,MATCHED,M001-b3593871,false,false,,,
BNK-0000196,BANK,BANK,MATCHED,M020-94c1957f,false,false,,,
BNK-0000197,BANK,BANK,MATCHED,M009-b0391173,false,false,,,
BNK-0000198,BANK,BANK,MATCHED,M012-782bdeae,false,false,,,
BNK-0000199,BANK,BANK,MATCHED,M007-4f618557,false,false,,,
BNK-0000200,BANK,BANK,MATCHED,M008-bd26944f,false,false,,,
BNK-0000201,BANK,BANK,MATCHED,M008-e4b9447a,false,false,,,
BNK-0000202,BANK,BANK,MATCHED,M004-4ec6390b,false,false,,,
BNK-0000203,BANK,BANK,MATCHED,M002-9639e35a,false,false,,,
BNK-0000204,BANK,BANK,TIMING_DIFFERENCE,M019-210ef2a8,false,false,,,
BNK-0000205,BANK,BANK,MATCHED,M014-a0b29872,false,false,,,
BNK-0000206,BANK,BANK,MATCHED,M001-49b5539a,false,false,,,
BNK-0000207,BANK,BANK,MATCHED,M012-4b87113c,false,false,,,
BNK-0000208,BANK,BANK,MATCHED,M007-5924754e,false,false,,,
BNK-0000209,BANK,BANK,MATCHED,M013-f66b01d4,false,false,,,
BNK-0000210,BANK,BANK,MATCHED,M002-2e055c90,false,false,,,
BNK-0000211,BANK,BANK,MATCHED,M019-f2aed4c2,false,false,,,
BNK-0000212,BANK,BANK,MATCHED,M002-9dbf49a0,false,false,,,
BNK-0000213,BANK,BANK,MATCHED,M008-4bdb7ec8,false,false,,,
BNK-0000214,BANK,BANK,MATCHED,M006-78368f7e,false,false,,,
BNK-0000215,BANK,BANK,MATCHED,M019-2d2e433e,false,false,,,
BNK-0000216,BANK,BANK,MATCHED,M013-f24b1c71,false,false,,,
BNK-0000217,BANK,BANK,MATCHED,M001-34d263b5,false,false,,,
BNK-0000218,BANK,BANK,MATCHED,M011-37bbf1b3,false,false,,,
BNK-0000219,BANK,BANK,MATCHED,M011-8b6e0e30,false,false,,,
BNK-0000220,BANK,BANK,MATCHED,M003-9c488e00,false,false,,,
BNK-0000221,BANK,BANK,MATCHED,M005-1125cf5e,false,false,,,
BNK-0000222,BANK,BANK,MATCHED,M020-694165be,false,false,,,
BNK-0000223,BANK,BANK,MATCHED,M015-a0afa707,false,false,,,
BNK-0000224,BANK,BANK,MATCHED,M020-48c828b4,false,false,,,
BNK-0000225,BANK,BANK,MATCHED,M002-d3b97429,false,false,,,
BNK-0000226,BANK,BANK,MATCHED,M011-7bca1aaf,false,false,,,
BNK-0000227,BANK,BANK,MATCHED,M008-460ecec9,false,false,,,
BNK-0000228,BANK,BANK,MATCHED,M019-98a26259,false,false,,,
BNK-0000229,BANK,BANK,MATCHED,M015-2fa58805,false,false,,,
BNK-0000230,BANK,BANK,MATCHED,M008-ce693671,false,false,,,
BNK-0000231,BANK,BANK,MATCHED,M020-a40680a0,false,false,,,
BNK-0000232,BANK,BANK,MATCHED,M011-ca51d12a,false,false,,,
BNK-0000233,BANK,BANK,TIMING_DIFFERENCE,M020-00aa1da5,false,false,,,
BNK-0000234,BANK,BANK,MATCHED,M007-bbdb4a78,false,false,,,
BNK-0000235,BANK,BANK,MATCHED,M016-9e8b8480,false,false,,,
BNK-0000236,BANK,BANK,MATCHED,M004-7c204316,false,false,,,
BNK-0000237,BANK,BANK,MATCHED,M006-b4550b7e,false,false,,,
BNK-0000238,BANK,BANK,MATCHED,M016-ce6a0302,false,false,,,
BNK-0000239,BANK,BANK,MATCHED,M013-cdc70808,false,false,,,
BNK-0000240,BANK,BANK,MATCHED,M008-ad89f65f,false,false,,,
BNK-0000241,BANK,BANK,MATCHED,M009-92a0f75a,false,false,,,
BNK-0000242,BANK,BANK,MATCHED,M020-16b1e5d4,false,false,,,
BNK-0000243,BANK,BANK,MATCHED,M010-40494b35,false,false,,,
BNK-0000244,BANK,BANK,MATCHED,M013-ca176014,false,false,,,
BNK-0000245,BANK,BANK,MATCHED,M008-01a233f4,false,false,,,
BNK-0000246,BANK,BANK,MATCHED,M001-43bf2b67,false,false,,,
BNK-0000247,BANK,BANK,MATCHED,M009-82161db8,false,false,,,
BNK-0000248,BANK,BANK,MATCHED,M018-d8cdadc4,false,false,,,
BNK-0000249,BANK,BANK,MATCHED,M013-078c7632,false,false,,,
BNK-0000250,BANK,BANK,MATCHED,M002-aeae0ffa,false,false,,,
BNK-0000251,BANK,BANK,MATCHED,M013-cb2c8a27,false,false,,,
BNK-0000252,BANK,BANK,MATCHED,M009-bf742b65,false,false,,,
BNK-0000253,BANK,BANK,MATCHED,M008-51acbd3d,false,false,,,
BNK-0000254,BANK,BANK,MATCHED,M009-b9e28c9e,false,false,,,
BNK-0000255,BANK,BANK,MATCHED,M015-404bf7ba,false,false,,,
BNK-0000256,BANK,BANK,MATCHED,M009-081598a8,false,false,,,
BNK-0000257,BANK,BANK,MATCHED,M015-f264d9b1,false,false,,,
BNK-0000258,BANK,BANK,MATCHED,M013-dd8b7c46,false,false,,,
BNK-0000259,BANK,BANK,MATCHED,M019-a22eccdf,false,false,,,
BNK-0000260,BANK,BANK,MATCHED,M001-eeddf52e,false,false,,,
BNK-0000261,BANK,BANK,TIMING_DIFFERENCE,M005-6c19ace3,false,false,,,
BNK-0000262,BANK,BANK,MATCHED,M019-26e16af1,false,false,,,
BNK-0000263,BANK,BANK,TIMING_DIFFERENCE,M014-4aa60588,false,false,,,
BNK-0000264,BANK,BANK,MATCHED,M009-d1997cd8,false,false,,,
BNK-0000265,BANK,BANK,MATCHED,M005-bef4ba6e,false,false,,,
BNK-0000266,BANK,BANK,MATCHED,M018-02da187e,false,false,,,
BNK-0000267,BANK,BANK,MATCHED,M007-6615d314,false,false,,,
BNK-0000268,BANK,BANK,MATCHED,M003-5f796546,false,false,,,
BNK-0000269,BANK,BANK,MATCHED,M015-1d78ed41,false,false,,,
BNK-0000270,BANK,BANK,MATCHED,M005-97a498a6,false,false,,,
BNK-0000271,BANK,BANK,MATCHED,M008-c49726e4,false,false,,,
BNK-0000272,BANK,BANK,MATCHED,M014-31b3629f,false,false,,,
BNK-0000273,BANK,BANK,MATCHED,M016-89264f87,false,false,,,
BNK-0000274,BANK,BANK,MATCHED,M010-30b64915,false,false,,,
BNK-0000275,BANK,BANK,MATCHED,M015-b5392e33,false,false,,,
BNK-0000276,BANK,BANK,MATCHED,M020-113d4db2,false,false,,,
BNK-0000277,BANK,BANK,MATCHED,M006-a0f94833,false,false,,,
BNK-0000278,BANK,BANK,MATCHED,M004-3ae7518b,false,false,,,
BNK-0000279,BANK,BANK,MATCHED,M010-4773031f,false,false,,,
BNK-0000280,BANK,BANK,MATCHED,M019-25480dc3,false,false,,,
BNK-0000281,BANK,BANK,MATCHED,M004-677172a3,false,false,,,
BNK-0000282,BANK,BANK,MATCHED,M011-50add127,false,false,,,
BNK-0000283,BANK,BANK,MATCHED,M017-4667a20f,false,false,,,
BNK-0000284,BANK,BANK,MATCHED,M003-1bd2b5ff,false,false,,,
BNK-0000285,BANK,BANK,MATCHED,M010-5dc93287,false,false,,,
BNK-0000286,BANK,BANK,MATCHED,M019-f1ccacc2,false,false,,,
BNK-0000287,BANK,BANK,MATCHED,M011-09f03fdd,false,false,,,
BNK-0000288,BANK,BANK,TIMING_DIFFERENCE,M015-62bce19a,false,false,,,
BNK-0000289,BANK,BANK,MATCHED,M006-7361c5c8,false,false,,,
BNK-0000290,BANK,BANK,MATCHED,M005-bc9fa65c,false,false,,,
BNK-0000291,BANK,BANK,MATCHED,M001-e8b3c48d,false,false,,,
BNK-0000292,BANK,BANK,MATCHED,M020-9b9c1ffb,false,false,,,
BNK-0000293,BANK,BANK,MATCHED,M001-ce94e1af,false,false,,,
BNK-0000294,BANK,BANK,MATCHED,M009-1c58790d,false,false,,,
BNK-0000295,BANK,BANK,MATCHED,M014-cfb8a5f1,false,false,,,
BNK-0000296,BANK,BANK,MATCHED,M012-1595919c,false,false,,,
BNK-0000297,BANK,BANK,MATCHED,M012-f6aec38b,false,false,,,
BNK-0000298,BANK,BANK,MATCHED,M013-6ed5a148,false,false,,,
BNK-0000299,BANK,BANK,MATCHED,M016-8cbc938e,false,false,,,
BNK-0000300,BANK,BANK,MATCHED,M002-b8723d39,false,false,,,
BNK-0000301,BANK,BANK,MATCHED,M006-caccfab5,false,false,,,
BNK-0000302,BANK,BANK,MATCHED,M005-46a2d207,false,false,,,
BNK-0000303,BANK,BANK,MATCHED,M013-4477391c,false,false,,,
BNK-0000304,BANK,BANK,MATCHED,M005-286793b2,false,false,,,
BNK-0000305,BANK,BANK,MATCHED,M017-60e4e81e,false,false,,,
BNK-0000306,BANK,BANK,MATCHED,M020-e3f79aa7,false,false,,,
BNK-0000307,BANK,BANK,MATCHED,M007-07508db2,false,false,,,
BNK-0000308,BANK,BANK,MATCHED,M009-ccd71ba8,false,false,,,
BNK-0000309,BANK,BANK,MATCHED,M016-e6a63c59,false,false,,,
BNK-0000310,BANK,BANK,MATCHED,M003-6869002b,false,false,,,
BNK-0000311,BANK,BANK,MATCHED,M001-5ab9315b,false,false,,,
BNK-0000312,BANK,BANK,MATCHED,M001-a34bff2a,false,false,,,
BNK-0000313,BANK,BANK,MATCHED,M016-8c6b8068,false,false,,,
BNK-0000314,BANK,BANK,MATCHED,M017-5d44036c,false,false,,,
BNK-0000315,BANK,BANK,MATCHED,M002-2aaef607,false,false,,,
BNK-0000316,BANK,BANK,MATCHED,M012-346eee21,false,false,,,
BNK-0000317,BANK,BANK,MATCHED,M006-ff43fc27,false,false,,,
BNK-0000318,BANK,BANK,MATCHED,M008-7173601e,false,false,,,
BNK-0000319,BANK,BANK,MATCHED,M002-4e0f3354,false,false,,,
BNK-0000320,BANK,BANK,MATCHED,M006-c0202219,false,false,,,
BNK-0000321,BANK,BANK,MATCHED,M001-e636d32b,false,false,,,
BNK-0000322,BANK,BANK,MATCHED,M003-2b89994f,false,false,,,
BNK-0000323,BANK,BANK,MATCHED,M011-2136ced6,false,false,,,
BNK-0000324,BANK,BANK,MATCHED,M003-04d159e8,false,false,,,
BNK-0000325,BANK,BANK,MATCHED,M009-0ac35e5f,false,false,,,
BNK-0000326,BANK,BANK,MATCHED,M011-0d0a7ba0,false,false,,,
BNK-0000327,BANK,BANK,MATCHED,M008-531adab2,false,false,,,
BNK-0000328,BANK,BANK,MATCHED,M015-17d26690,false,false,,,
BNK-0000329,BANK,BANK,TIMING_DIFFERENCE,M014-e59c7a80,false,false,,,
BNK-0000330,BANK,BANK,MATCHED,M009-2c922202,false,false,,,
BNK-0000331,BANK,BANK,MATCHED,M005-8e5389cd,false,false,,,
BNK-0000332,BANK,BANK,MATCHED,M006-eaa60c73,false,false,,,
BNK-0000333,BANK,BANK,MATCHED,M012-06225985,false,false,,,
BNK-0000334,BANK,BANK,MATCHED,M002-27129084,false,false,,,
BNK-0000335,BANK,BANK,MATCHED,M012-4b8bb537,false,false,,,
BNK-0000336,BANK,BANK,MATCHED,M006-0767cb7f,false,false,,,
BNK-0000337,BANK,BANK,TIMING_DIFFERENCE,M001-b790fef3,false,false,,,
BNK-0000339,BANK,BANK,MATCHED,M012-a127f6c3,false,false,,,
BNK-0000340,BANK,BANK,MATCHED,M014-5a632f8e,false,false,,,
BNK-0000341,BANK,BANK,MATCHED,M015-a368b23f,false,false,,,
BNK-0000342,BANK,BANK,MATCHED,M006-0f17f4b4,false,false,,,
BNK-0000343,BANK,BANK,MATCHED,M011-570e2e61,false,false,,,
BNK-0000344,BANK,BANK,MATCHED,M005-62c050bf,false,false,,,
BNK-0000345,BANK,BANK,MATCHED,M016-666f69e8,false,false,,,
BNK-0000346,BANK,BANK,MATCHED,M011-ad0b5704,false,false,,,
BNK-0000347,BANK,BANK,MATCHED,M009-c48738d4,false,false,,,
BNK-0000348,BANK,BANK,MATCHED,M017-157d52ed,false,false,,,
BNK-0000349,BANK,BANK,MATCHED,M019-8d31d309,false,false,,,
BNK-0000350,BANK,BANK,MATCHED,M006-c93e7fb6,false,false,,,
BNK-0000351,BANK,BANK,MATCHED,M019-587db821,false,false,,,
BNK-0000352,BANK,BANK,MATCHED,M016-0efa5ea7,false,false,,,
BNK-0000353,BANK,BANK,MATCHED,M003-c47bbcfb,false,false,,,
BNK-0000354,BANK,BANK,MATCHED,M008-314cd2fe,false,false,,,
BNK-0000355,BANK,BANK,MATCHED,M019-a5f05cb3,false,false,,,
BNK-0000356,BANK,BANK,MATCHED,M010-6b9852e1,false,false,,,
BNK-0000357,BANK,BANK,MATCHED,M001-80205270,false,false,,,
BNK-0000358,BANK,BANK,MATCHED,M006-0032264f,false,false,,,
BNK-0000359,BANK,BANK,MATCHED,M017-df8a1285,false,false,,,
BNK-0000360,BANK,BANK,MATCHED,M003-4aaf4614,false,false,,,
